id;placed_date;status;code;invoice_id;customer
1;2019-05-17T01:56:31;COMPLETED;even-keeled Saint Helena Pound;84666;SCSI drive THX
2;2019-05-16T07:45:16;COMPLETED;Dynamic Home Loan Account Tools;10147;invoice Home Gloves
3;2019-05-16T15:00:25;COMPLETED;Fish;1807;Bedfordshire
4;2019-05-16T23:53:05;COMPLETED;Nevada;9367;turn-key dedicated
5;2019-05-16T22:19:15;COMPLETED;Investor users dot-com;64510;Libyan Dinar CSS
6;2019-05-16T22:39:07;COMPLETED;Chips;94045;Response Human
7;2019-05-16T19:17:34;COMPLETED;Wisconsin Facilitator Incredible;30569;fuchsia eco-centric
8;2019-05-16T16:31:47;COMPLETED;Configuration UIC-Franc;57006;Intelligent
9;2019-05-16T13:24:59;COMPLETED;portal calculating Metal;70891;France protocol
10;2019-05-16T18:06:06;COMPLETED;Borders;79829;deposit
